text,toxic,language
RT साहेब ने देश के लिए चाय का खोखा छोड़ दिया था... तुम लोग नौकरी नहीं छोड़ सकते!,1,hi
मौत सामने होते हुए भी लोग फौज की ऩौकरी नही छोडते वही कुछ कमीने अखबार पढ कर देश छोडने की बात करते है़ं..!,1,hi
‘मोदी ने अर्थव्यवस्था को जर्जर किया’ - जीडीपी पर क्या बोले विदेशी अख़बार,0,hi
"शिक्षक दिवस पर जी5 ला रहा इस सीजन की सबसे अनोखी फिल्म, संगीत के शागिर्द सुनाएंगे पुराना किस्सा ZEE5 AtkanChatkan AtkanChatkanOnZee5",0,hi
"चीन ने सीमाओं पर मिसाइल तैनात कर दी हैं, संसद में हो चर्चा, PM दें जवाब ' : IndiaChinaFaceOff",0,hi
"हलाला की औलाद मुताह के बीज सुअर, चल अभी निकल",1,hi
"केंद्र सरकार ने लॉकडाउन के दौरान लोगों की नौकरी बचाने या नौकरी देने के लिए जो शानदार कदम उठाए हैं, उन कदमों के बारे में जानने के लिए इस ट्वीट के रिप्लाई में 'विश्वगुरु' लिखिए. आपको सरकार के उठाए कदमों की एक लंबी लिस्ट दिखने लगेगी.",1,hi
आज China के राष्ट्रपति भारत में दो दिवसीय के दौरे पर आ रहे हैं. पीएम मोदी से शी जिंगपिंग की मुलाकात तमिलनाडु के Mahabalipuram में होगी. XiJinping TamilNadu ZeeHindustan,0,hi
NSUI हिमाचल प्रदेश के कार्यकर्ताओं के द्वारा JEE की परीक्षा देने आए छात्र-छात्राओं को कुल्लू व हमीरपुर जिले में कोरोना महामारी से बचाव के लिए मास्क व सैनीटाइजर बांटे गए।,1,hi
सुशांत के लिए ड्रग्स मंगवाती थी रिया NCB की पूछताछ में ड्रग्स का कबूलनामा,0,hi
कायरता का तेल चढ़ा है लाचारी की बाती पर हर सूअर नंगा नाच रहा है अब हिन्दू की छाती पर जी करता है फूल चढ़ा दूं लोकतंत्र की अर्थी पर हिन्दू ही शरणार्थी हो गए हैं अपनी धरती पर,1,hi
अबे आंख के अंधे तेरे को नहीं दिख रहा मुसलिम के नाम पर मिरची लग गई दोगले कौम की हरामी नसल,1,hi
"एक्ट्रेस सारा अली खान. पिछले दिनों उन्होंने अपने घर में गणपति की स्थापना की और पूजा की फोटो सोशल मीडिया पर पोस्ट की. लेकिन लोगों को उनका गणेश पूजा करना रास नहीं आया. वो उन्हें ट्रोल करने लगे, साथ ही साथ इस्लाम का ज्ञान भी बांटने लगे.",0,hi
जितने भी छोटे दुकानदार है उन से पूछिए आपकी जिंदगी बिना मोबाइल के कटेगी बिक्री और ग्राहक है नहीं फिर दिन काटने के लिए मोबाइल ही सहारा बचती है मेरी कारोबार सेना से जुडी है सेना में उसी की कारोबार चलती है जो सेना की दलाली करती है कमीशन देती है मेरे कारोबार कहां चलेगी,1,hi
जिस तरह की घिनौना अपराध मेरे साथ की है यदि मेरी जगह कोई और सैनिक फैमिली होती तो पूरे फैमिली आत्महत्या कर लेती 33 साल की उम्र में सेना से बाहर कर लंगड़ा अंधा बना कर सड़क पर बिना पेंशन भीख मांगने के लिए छोड़ दिया शर्म नाम की चीज नहीं है तुम सबको,1,hi
"Rampur आजम खान के परिवार पर केस का मामला, पुलिस ने कोर्ट में दालिख की चार्जशीट, बहन समेत पत्नी,बेटे पर दर्ज हैं 28 केस। TeachersDay2020 UPPolice uppinnews policemedianews",0,hi
"मेरे मददगार रोहित ने कल बताया उसके घर राशन खत्म हो गया था,आज सुबह मेरी बेटी ने उन्हें राशन का सामान दिया ❤❤ एक दूसरे कि मदद से हीं इस विपदा से निपट सकेंगे। जरूरी समझना ये है कि लाँकडाउन खुलने के बाद अब वो कमा के खा सकेगा, मगर वो सिलसिला दोबारा अब से शुरू होगा 🙏🙏",0,hi
जीडीपी आज गिरी है कल खड़ी हो जाएगी-इसका यह मतलब नही कि देश को देश बेचने वालों के हवाले कर दे मोदी जिंदाबाद था है रहेगा,1,hi
"दीपेश के जिस WhatsApp chat में ये पूरा सच छिपा है, उसे मुंबई पुलिस ने क्यों छिपाया? देखिए 'पूछता है भारत' अर्नब के साथ रिपब्लिक भारत पर LIVE :",0,hi
देश के गद्दारों का दिमाग पूरी तरह से सड़ चुका है उन्हें गाली देने की अपेक्षा अपना मूड खराब करने की अपेक्षा सीधे ब्लॉक मार दो कुत्ते की पूंछ से भी बदतर है कभी नहीं सुधरने वाले 💔😢,1,hi
"और गेंडा स्वामी तुम ज्यादा ज्ञान मत पेलो की को क्या कर रहा है, साला तुम सत्ता में आने के लिए 15-15 लाख का प्रलोभन देकर देश की जनता को दोखा दिया और तुम बोलते हो की, कोंग्रेस वो कर, फलानी वो कर रही है पहले खुद में झांककर देखो साहिब की अपन क्या कर रहे है।सुवार से भी बत्तर हो तुम लोग",1,hi
"जातिवाद पर वार: कंगना रनोट बोलीं- मेरी मां ने दलित बच्ची को गोद लिया था, बेटी की तरह पाल-पोसकर उसकी शादी करवाई, मैं इसी तरह के मॉर्डन इंडिया को जानती हूं KanganaRanaut",0,hi
भारत चीन तनाव के बीच विदेश मंत्री एस जयशंकर और रक्षामंत्री राजनाथ सिंह लेंगे SCO बैठक में हिस्सा,0,hi
"Exclusive: केंद्र ने मध्यप्रदेश से कहा- लॉकडाउन में बंटा चावल इंसान के लायक नहीं, जानवरों को खिलाएं",0,hi
"तेलंगाना के नए सचिवालय में दिखेगी 'गंगा जमुनी तहजीब', एक साथ होंगे मंदिर, मस्जिद और चर्च -",0,hi
लव-जेहाद के मामलों पर कब लगेगी लगाम? उत्तर प्रदेश के प्रयागराज में एक और मामला आया सामने LoveJihad,0,hi
"हमने नए एप मौसम, दामिनी और रेन अलार्म लॉन्च किए: मौसम विभाग",0,hi
"भारत ने एक दिन में सबसे अधिक जांच करने का एक और ऐतिहासिक रिकार्ड बनाया पिछले 24 घंटों में 10.5 लाख से अधिक कोविड जांच की गई सभी राज्य/केंद्र शासित प्रदेश 140 जांच/ प्रति दिन/मिलियन से अधिक कर रहे हैं, जैसाकि विश्व स्वास्थ्य संगठन का सुझाव है विवरण :",0,hi
किसकी बात कर रही ये वही अखिलेश हैं जिनके बाप 149 निर्दोष कारसेवकों पर गोलियां चलवाईं,1,hi
"आसान भाषा में; “अगर मैं फंसा तो भाई तू अपना देख लियो.” थोड़ा समझदारों की भाषा में, आपके कृत्य से अगर किसी कानूनी झमेले में फंसा तो वो आपका कंटेंट उड़ा देगा, आपके अकाउंट पर रोक लगा देगा.",0,hi
"कोराना दौर में प्लेसमेंट ऑफ़र वापस ले रही हैं कंपनियाँ, छात्र परेशान",0,hi
"ये सब रहने दे,पहले तू बता बुखारी इस्लाम में तो ट्वीटर 'हराम' है फिर क्या तू 'हरामी' कर रहा है?",1,hi
जिस देश में कन्हैया कुमार जैसा पढ़ा लिखा युवा हार जाए आतंकवादी जीत जाये उस देश की जनता क्या ?,1,hi
"भारतीय सेना ने उखाड़ फेंके चीन के जासूसी उपकरण, चुशूल के ब्लैक टॉप की कहानी PangongLake IndiaChinaFaceOff",0,hi
फिलहाल क्या किसी का एक झांठ उखाड़ लेगा तू अबे साले फस गया फिर भी तेरे अभी बदतमीजी बंद नहीं हो रही है तेरी गांड में तेल लगाकर पुलिस डंडा डालेगी तब तेरी भाषा सही होगी कुत्ता साले माफी मांगने के लिए कह रहा हूं साले उस पर तुम्हारा दिमाग नहीं जा रहा है जिससे तुम्हारी जिंदगी बच जाए,1,hi
"भारतीय राजनीति में करीब पांच दशक लंबे सफर में प्रणब मुखर्जी ने जिस तरह की स्वीकार्यता हासिल की थी, वो कम ही लोगों को नसीब होती है. पढ़ें नेटवर्क18 समूह के मैनेजिंग एडिटर ब्रजेश कुमार का ब्लॉग..",0,hi
महिलाओं को समर्पित डीडी न्यूज़ के विशेष कार्यक्रम 'तेजस्विनी' में लद्दाख की पहली महिला डॉक्टर डॉ. सेरिंग लाहडोल के साथ खास मुलाकात ➡️,0,hi
