comment,toxic
то есть ты пиндос точно знаешь где правда? так и пиздуй туда где правда,1
долгих лет ему и в жизни и на посту.,0
"она и без бодьки бы припёрлась,но видимо маманя не согласна ростить внука за периметром.даже на обещания тваренки ,еже месячно содержать их.не верит сутулая блядь своей гулящей тварёнки.",1
ржу не могу!в точку пидарастическую попал!,1
"поздравляю всех железнодорожников и всех, кто имеет отношение к железной дороге с профессиональным праздником!!! всего самого наилучшего!!!!",0
куртка на какой рост?,0
"у ебнутых аутистов до сих пор кровавая пена, ВЕДЬ ОН ПОСМЕЛ ТРОНУТЬ ИГРУШЕЧКУ, НЕ ЗАБУДЕМ НЕ ПРОСТИМ! Потому что если критик не может критиковать себя(то есть признать ошибки), то это не критик, а мудак. Ибо критическое мышление начинается с критического мышления по отношению к себе.
",1
"вы сами бы не ходили никуда с войной,идиоты,кто вас трогает,варваров!",0
да убирите эту бабу с сайта задолбала когда она только вылезит с этого авто гадина !!,1
крысы ебучие свою медецину развалили за границу им подавай перед богом все равны всем отвечать если что и за граничная медецына не поможет сдохните,1
"и дал бог, идиоту, ребёнка... его бы самого за ногу подвесить",1
вот вот суки...….1992 год.....пидоры сами правду говорятвремя расплаты близок....бегите армяшки бегите,1
конечно снизили бы!!!!,0
"дааа,таких хватает,повороты не включают,пидарки!",1
"наши деревенские уже с ними давно знакомы ,только пусть нос высунут......",0
"потрясающе! очень красиво, луна прям светится)
",0
ебать она даёт 😂😂😂😂😂,1
миша просвиркин и никита садырев уничтожены. обратите внимание они строются каждый день.это дойные коровы.,1
чмошники гандоны уберите ошибку говноеды заебали твари,1
"тикач --ссыкач у тебя у горбопидора уже глбюки, да пиздец крадётся незаметно, дурдом наврятли здесь поможет, если полицайского выблядка мозг отрофирован с рождения, потому это уебище такое тупое. падаль сдыхай быстрее ,лука конюх по этому поводу страдать не будет|) |) |( (sr) 👎👎👎",1
блядь овб т о вто дебилы блятьш,1
"ты не хищник, ты долбоеб",1
ниттрs иvк со оитсгосоdиlе крокому в отличие от иностранных автоваз еще бракоделов ни разу не отзывал своих автомобилей,0
брали за 28000. за 14000 продаю.,0
"слился сука, ну понятно",1
убивать.,1
хорошая парочка и очень гармоничная,0
2640➡️в этом каталоге 1399☝️и скидка от меня 10% 1260‼️,0
дура тупая.обосралась на весь мир. что она из себя строит? не такая уж она и охуенная балерина. в росии намного больше талантливых людей чем эта потаскуха.,1
"Слишком много хочешь. Руснявая пидораха не стоит и пальца казаха. Вы и должны быть рабами, вам не привыкать.
",1
"если какой то пидарас пытается обогнать вас по обочине, лучше пропустить. пидарас спереди безопасней пидараса сзади.",1
но а вы до сегодня все молчали,0
занюхаешь(dt) иль укропом закусишь🥦:d,0
на хуй их путинская пехота вдв до конца !!!!,1
а где в нашем образе жизни православие? на фото?,0
путин балбес сам бы хоть дожил до конца года ему уже подашол пиздец,1
"так я вас не оскорблял О о
",1
"ты не отвечаешь за свои слова, то есть не мужик, а тряпка. ты написал, что орда владела русью, а теперь виляешь жопой как дешевая проститутка, мол, платила дань. дань это не владела. но нацистским мразям хоть ссы в глаза - все божья роса",1
"а по твоему ништяк живётся большинству россиян,да?",0
"ну так ума нет, считай калека.
",1
"про народ и депутатов, которые людей обворовывают.... не суй ебало в чужую тарелку... :d :d :d :d :d ;)",1
"уважаемые! полностью свами солидарна гнать на хер этх мразей с россии метлой,обарзели,хозяевами себя почувствовали пусть живут в свои аулах мрази конченые,я ровно к ним относилась но они начали наглеть!",1
"что..педераст гнойный..словарный запас у сельского быдла закончился)))..уёбище..ну так это я! тебе = мразь пэтриотическая..тебе написал.,ты=уёбище.. а страна моя!..где я! родился учился и вырос - ссср - рсфср!!!.,это её..страну..просрали вот такие как ты..мрази.. вот только интересно..услышать от тебя=быдловатое уёбище..кто и на какие государства посягает..донбасс никуда не лезет..а то,что тыприпиздок недоношенный прошмандовкой..отродясь не имел извилин..кроме вонючей жижи в твоей куриной репе..так купи букварь в сельпо своего села.. и посмотри..когда и кто отдал юго-восток украине.. тварь=мразь тупорылая - это ты = быдло-уёбище. кто после войны! восстанавливал донбасс!?.. кто?..ответь гнойный колхозный педераст.. случайно рожденный сельской проблядью и говночерпием.. про какую войну..ты гнида вонючая..тут лепишь..кто и где..расплодился))).. ты вообще кто=припиздок недоношенный проблядью..",1
накормить блядей этим дерьмом до усрачки.,1
её надо вешать!!!,1
"и за эту ложь пидары ответите.очень скоро.на земле перед людьми,а на небе перед богом.",1
говно чмо он придумал что чвк в лелезли в его власть,1
на кол садить пора.,1
у меня кошка веганка. пути природы не исповедимы.,0
да чмошники они все и трусы,1
ты не хочш на гречанке поженица?(ch),0
"ну путин забодится только о своей банде, которая помогает резграбливать россии",0
"бляд....ь смотришь коментарии и страшно становится,как ездить то? столько грамотеев, конечно автобус должен пропустить,светофоры ж работают,они в приоритете над знаками.",1
а что бардюры в отличном состоянии в городе?,0
"молодец, руки золотые.",0
"и я также подавала через госуслуги, позвонили уточнили через неделю перевели деньги.",0
"продаю квартиру в здании общежития. 2 комнаты, кухня, душ. окна, балкон пластиковые. общая площадь 31,6м2. цена 360тыс. бонус: титан, кух. гарнитур. тел: 89069698581",0
мои друзья детства почти все остались в родительских домах или квартирах.что-то не дошла очередь до них.а сейчас миллионы покупают собственные квартиры....капитал все же на будущее.что вы хорошего нашли в тех годах?разве что хлеб по 16 копеек.который сельские жители покупали в городе мешками.,0
собаки самые верные друзья.,0
"и вот такие хамы и невоспитанные чмошники рассуждают о том как поменять власть и улучшить жизнь свою! да неудачники вы и несостоявшиеся люди, вам при любой власти будет плохо.работать идите и будет вам счастье.",1
"а когда порошенко ставил свою подпись, что-то не сделал приписку о непонятках (помнится постоянно бегал с заседания консультироваться с америкосами). вот пусть он и объясняет тупоголовым , ведь живет- то он по соседству,чего они к европе и россии обращаются",1
оноре (имя),0
спасибо. я вам написала.,0
не порочьте страну своими домыслами,0
чтоб ты сдох хуйло!!!,1
ублюдок помойный!!!член ему отрезать...и ещё руки. только такого наказания он заслуживает.,1
валите пидорасов!!!,1
"у россии друзей и не было- были нахлебники и прихлебатели, как и у ссср. размеры не те ,чтоб дружить. у сша и китая тоже нет друзей- есть примкнувшие по необходимости..!!!!",0
"здравствуйте,супер-мастерство,хочу с вами познакомиться.",0
мужчины запоминают только последние сказанные слова.,0
коренной уебанин ты,1
очень красивая! супер!,0
семья-это смысл жизни человека. остальное- пыль...,0
сейчасть карантин,0
уберите это потертое ебало,1
"С таким успехом можно купить и за 20 тысяч трубку, которая уже мощнее этого самсунга, но не имеет беспроводной зарядки, а переплачивать за неё 8-10 рублей тоже каков смысл? Смысл в том, что камере с8 в данной ценовой ( 30к) конкурентов нет. Все хоноры, сиаоми и прочие в этой ценовой снимают хуже, особенно в темное время суток. С этим спорить бесполезно, на галактиках камеры отполированы до блеска и снимают отлично. Влагозащита, беспроводная зарядка, фишки на подобии сканера сетчатки, пульсометры и т д. Для кого то это баловство, для кого это нужные вещи, но факт в том, что все это есть в этом телефоне, а что есть во View 20, кроме процессора и камеры в 48мп, которая опять же снимает не лучше с8 ? Да что говорить, в этом хоноре даже оптической стабилизации нет, и это за 38к. За что отдавать 38к? За 8нм процессор и смотреть на баллы в антуту? Не практичность беспроводной зарядки в том, что при любой необходимости взять телефон, она прерывается или это удобно Ну провод так то никто не отменял. Но допустим в машине, вместо того, чтобы постоянно цеплять отцеплять кабель, можно просто закинуть его и все. Стоит этим попользоваться и потом этого дико не хватает, из чего я делаю вывод, что ты просто не пользовался беспроводной зарядкой на постоянной основе.
",0
"буковку ё ставить надобно. правила написания и орфографию ещё никто не отменял. и не только в этом слове. сколько проблем при пересечении границы, ежели неправильное написание? а уж при принятии наследства - просто нечего сказать. или никто не сталкивался?",0
надо что бы пёсик в сраку его выебал еще,1
"не за плешивого ушлепка, это точно.",1
"красавица и умница золотые у тебя ручки,счастья вам здоровья и огромной любви и долголетия !!!!!",0
заметили она без пилотки.стерлась на хуй.,1
пожалуйста у кого небудь есть шатланский напиток?пришлите очень надо .,0
неужели правда???🤔🙄что то не верится что так просто🧐,0
у нас сегодня самый главный праздник у мусульман курбан байрам. угощайтесь пожалуйста.,0
"сперва, а потом расстрелять",1
"- Ты видел этих выпускников, Эрл? - Я видел много выпускников, но настолько тупорылых - ни разу.
",1
получается что их вся еуропа перетрахала!,1
можно б было и без масок фото сделать лиц не видно ❤,0
кому это интересно пошел он на ... пидр,1
"кто эти фото выставляет,ну и моргнул человек посмотрел вниз и туууууууууууут праведник с фотоапаратом------- смотрите как они за милион наш(или мой?) законы принимают,а что ты сам сука сделал для людей?токо обсираешь других,за баксы которые тебе платят америкосы госдеповские? или от души своей?за дело правое?,кто вам дал право обвинять других,когда вы сами ничего не сделали в этом мире ничего праведного? кто вы такие?,кто это фотографирует? и почему он еще не на свободе?т.е. там где ему место,на природе а не фоткать и раздавать эти фото в мир,провоцируя против закона и власти-власти большенства народа,таких как я.и нет тут ничего смешного,фотографа в тюрьму,и модератора тоже за провокацию и оскрбление власти и тех кто за эту власть голосовал",1
можете позвонить есть витеренар женщина она на дом приезжает. хорошо делает. нам тоже двум катам делала.,0
"татьяна, моего заказа опять нет на доставке!!!!!!?",0
"Тогда бы все кроме русских вели бы себя нормально, и как только русские тупонут перезали бы всех русских. Профит.
",1
попка для траха в обе дырочки заеись,1
ненасытный полк всё никак не может нажраться.,0
"с днём рождения,",0
"как и девочки конец 8-го, начало 9-го классов.",0
канешно хотелосьбы но как фотку трахать,1
"если бы не беларусь, то небыло бы тебя придурка. надо з",1
"да, красивый,но у меня не прижился",0
надо было ему табло разбить в хлам,1
добрый е вечер без вечера вам пусть будет полон красоты любуд красивого вечера хорошего настроения,0
да она его боялась скорее всего всего!,0
ни хуя свиная тожа за три дня хер обсеришь,1
"устроил пыня Тупое безграмотное чмо , какую хуйню ты несёшь ? Лично пыня стоит и бутылки открывает на кассе? Если в твоей помойке так , то у меня и рядом этого нет. Пыня отвечает за внешнюю политику , Медведев за внутреннюю а чинуши в твоём хлеву за беспредел с продажей ночью. У тебя хуй не встанет это тоже пынька нашептал заговор ?
",1
много ли дураков отвечающих на этот ебанутый вопрос?,1
"хахольчик, смотри не 1-й канал россии, а свой укропский..с такой хахольской и кастрюлеголовой фамилией,только укропатриотские каналы смотреть и не более.",1
"мразь! нет слов, чтоб выразить свое презрение к этому ублюдку.",1
"не корни у них есть а желание выпить ; и мозги, если острова строят!? а у автора и мозгов нету! одна русофобия!",0
мочи пиндосов.,1
пристрелить старого козла плешивого!!!,1
"а эти ебучие блогеры, посмотрите здаровые хари, там трёх росгвардейцев надо что бы ушатать такого блогера, а они просто снимают когда хрупкую девчёнку духовитую эти твари пакуют. овцы а не блогеры.",1
"добрый день! закончила очередной круг ежедневных заданий. все призы получила, а кот не поменялся. новые задания идут, а награды все получены. id 13399402. помогите, пожалуйста.",0
"очень красиво! только для школы нижняя сетка-перебор! будет цепляться,колоть и сидеть не удобно.",0
теперь точно инвалид что за спец садист,0
"мозги у тебя куриные. родина и государство абсолютно разные понятия и никогда не могут быть едины, ни при каком государственном устройстве. и если ты этого не понимаешь, то ты просто тупой кремлебот, а точнее такая же мразь, как в кремле сидящие.",1
утырок. еб...й это пиз..ц. как так можно. обкурился что ли???((?((,1
"уроды, а не дети.",1
хабаровск - мы с тобой!,0
гоните китайцев корейцев с россии бейте их так же жоско.,1
"очень поздно появилось сообщение. жаль, надо было сделать пораньше.",0
я хочу ее мужу трахать,1
пришлите яблоко на вкус и саженец на развод такой красоты,0
привет я бы тебя трахнул,1
"Молодец, коллега, продолжай, пиши ещё))",0
"вот вы и показали своё истинное лицо. вам до этих умных людей, как до луны пешком......матюками только умеете крыть!",0
пидр ты путин в. в.,1
да его давно нужно поставить к стенке!!! позорник!!!,1
урод моральный! урод физический! думаю.. и сексуальный тоже;) (fr) (fr) (fr) (fr) (fr) (fr) (fr),1
"Где-то слышал, что вся эта советская атрибутика из-за ностальгии разрабов, и ко времени никак не привязана.
",0
ебать -копать .старая швабра!!!,1
гуля (имя),0
рашисты - тупые твари!,1
"от новорожденного до пятилетнего пропасть. от пятилетнего до меня один шаг ( л.н.толстой) вот что значит умничать, а не учиться у умных. написали хотя бы про 3хлетку, не вошли бы в такое противоречие со львом николаевичем.;-)",0
чтоб нечисть не водилась,0
сбербанк о чек по операции сбербанк онлайн операция перевод карты на карту с дата операции мск аbг оо б операции мску время номер документа бвббо статус операции выполнен успешно сумма операции руб з оо комиссия о со руб отправителы иb чз получатель карты зво авторизации код ччвв получатель платежа татьяна алексеевна платеж выполнен опгипе,0
что больше не не начем лайки заработать менять персонаж себя напиши сваей именем придурки,1
посмотри паспорт.. ;) там нет заглавные букв!!! а вот в паспорте ссср есть!!!!,0
присоединяюсь!!!!!!!!+,0
адрес можно в личку,0
"если он посчитал нарушение права мог бы вызвать полицию,а во вторых ебанутый во всей красе.",1
очень вкусное блюдо!,0
продаёте или покупаете?,0
(md) дурдом какой то.... государство заботится о нас. зарплаты так давали бы.... и рабочие места создавали бы.... :d долбоебизм бля😂,1
"Надоело нам волыны Маслом мазать день-деньской. Отпусти маманя сына. Сын сегодня холостой.
",1
дождались наконец то нового вокзала!!!! спасибо правительству и губернатору воскресенскому-ура!!!,0
какой нахер афроамереканец негр сука негр он и в аэропорту негр,1
"сначала уничтожили все, а теперь надо",0
"о, какие все правильные...из мухи слона раздули. улыбнитесь, просто так получилось... мне улыбнулось...замечательная кроха, и конечно, ей все обьяснят...",0
"всех их во главе с самым главным,желательно чтоб казнь была долгой и мучительной!!!",0
малышка с днём рождения здоровья не болей будь умничкой,0
"алена, альбом действующий байрон",0
молодец парняга .здоровья ему на многие лета,0
"захват аэродрома в чехословакии( с понтом аварийную посадку запросили ), штурм дворца президента с его дальнейшим убийством ( не ну сам же попросил политбюро цк кпсс ) , заблудившихся в степях украины ( наверное карты были еще 1913г,бывает ) ,все это на слуху .а какие еще немеркнущие в веках подвиги были совершены бравыми вдвшниками для защиты границ ссср ,а потом и рф на сегодняшний день ?",0
все так как вы. пишите. но мы служили были на. воине,0
и как к лотку приучен?,0
"ты трепло ...причем вонючее...работу у вас находят все республики снг...только для таких уродов как ты ее нет...твари вы...и тебе подобные...на кол сажать ..даже не в тюрьму..потому что ты не просто тупица.а тот из-за которых хаос в стране начинается и заканчивается хрен знает чем...гибнуть тысячи.а то и миллионы...дерьмо шакалье,не пиши мне...окурок -твоя сущность...выкинуть в помойку без сожаления.тварь !",1
да.металлолом стол..так хоть красота.. занятия детям,0
твоя участь как лоха....это пушечное мясо..........обо мне не беспокойся..........похороню падаль.......)))))),1
"Сравнивая уровень жизни в России и стоимость пд полумиллиона человек, не просто много кому будет нужен, а даже подавляющее большинство не откажется!
",0
ты жопа чёрная к тому же ещё и тупой валенок,1
с. круглое,0
"я хоть хуйню не несу , тебе нечего сказать по теме, пиздуй в писю",1
"а работать за что за 25- 30 тысяч, заплатить за все и остаётся 7 на месяц извени но ты идиотка",1
такие как ты и верят. поэтому вы и ебланы в намордниках,1
чёт ты обнаглела слегка.....:-d﻿,0
хотел бы сказать ебанутое начальство,1
обучение скульптора было дистанционным.....,0
каких только уродов ненаражает пиз......,1
"убить вас мало, на кассе с рожами недовольными ,лишней не дадут, а торгуют пачками.",1
пост для вас вас и с за т,0
"виктор фёдорович, желаю вам долгих, благополучных и интересных лет жизни! оставайтесь оптимистом, живите радостно!",0
ублюдки ебаные это. твари а не люди черди земные,1
твоё место на панели для геранрофилийных калоша разьебаеая путлеровская шмара,1
"От того то ты назовёшь хохла пидооашкой, пидорахой ты быть не перестанешь, это как с перефорсом няш , от того что ты ими хохлов называешь, 200 летие свинячей истории русни не пропадёт.
",1
"согласен с автором, на все 100. у друзей дети уехали в америку, через год вернулись оттуда в шоке. в действительности оказалось америка это не то, что мы видим в кино и о чем нам рассказывают псевдодемократы.",0
"тварь, самого подвесить .",1
блогеры вы пидоры ! нет бы помоги . а вы суки ток орете как овци,1
"да ему надо- бы подстрелить кое--что, улыбка исчезла бы с лица....",1
херня какая то белые ленточки что к чему?,0
главное - стабильность!!!!,0
"ну что , так и не нашел нужный том и нужную страницу ? боюсь , что не найдешь .",0
она всегда была такой😂пизданутенькая😂,1
я с собакой гуляю .,0
всем удачи и хорошего настроения!,0
расстреляли суку принародно,1
"гонщик ебанутый - убил пассажиров и вывел из строя не трактор, а дорогой пылесос",1
пидорас ему руки отрубить надо под самое не хочу,1
муж быдло дерьмо,1
явно не здорова,0
и 2оо грамм насрать,1
судьи пидоры!!!!,1
"поддерживаю всех, кот ждет обычную полянку!!!!!",0
радость своими руками - это прекрасно!,0
"люди вы вообще о чём,ваша страна россия мне пофигу, я живу в своей белоруссии и мне нет дела до вашего президента,у нас свои выборы на днях",0
ты пидор дешовый,1
"а при том,что собака.люди важнее!!!",0
бонусом-ловишь крабов пальцами ног),0
"ты что прикидываешься иностранцем.так озвучивали наши старые фильмы про войну.фуфло.даже чурбаны при всем старании так не говорят. а если правительство не нравится,так и скажи,не кодируйся. мне оно не нравится и насрать на тех ,кто там.а на патроны тоже добавлю.",1
и даже просто-пусть будет.. потом как найду.,0
всей сборной удачи и везения!!!а также здоровья и оптимизма!!!,0
полностью согласна....,0
он бы ее расстрелял наверное.,1
нашол только 10 отличий,0
совсем охуели!,1
"в дерьмо нас вел ввп все 20 лет,а мы как бараны шли безропотно на убой. уран почти даром отдают зарубеж,а свою землю заражают,лес у байкала за безценок продали, люди без работы,пенсионеры нищенствуют. и это происходит с нашего молчаливого согласия и как нас после этого называтьбыдло.",1
дурка по тебе плачет прошмандовка недоебаная,1
люди! барнаул! помогите!,0
"какая умная собачка,молодец,человечнее людей оказалась.👍👍👍",0
смерть легавым от ножа,1
здоровья вам и вашей малышке,0
тварь ублюдочная,1
яйца отпиздярить- и пусть радуется жизни....,1
ну очень надо дождей-просто срочно!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
странная конечно подпись это неуважение не только как актёру но и как человеку,0
"стыдно, что бабушка в таком возрасте вынуждена держать корову. а была бы нормальная пенсия то и не нужна была бы корова.",0
это п.здец какой то до коли эта гнида будет нашу страну уничтожать!!!!!!!мужчины что вы спите!!!!!!!!👊👊👊👊👊,1
"так в приемной семье своих детей несколько, какой им пример ужасный",0
"в/ч 54801, г. ставрополь. за вдв!!!!",0
"так мы в такой же ситуации. легче было в горах против условного врага, когда прут как из омута солдаты, оказались духи 1000 против 6. ... да отступили и сдали позицию, но к утру её забрали, ели сами успели отойти. (кого не успели порезать, те сами убежали). а высоту мы сдали. прикол в другом, через 4 дня мы взяли в плен более 600 духов. (отрезали им доступ к воде, а они не знали сколько нас). вот это проблема, что с ними делать в таком количестве.",0
мы сейчас на море отдыхаем как будем дома можете зобрать,0
к своему виску пистолет поставь и курок нажми .ушлепок,1
поздравляю!!!👏👏👏⭐⭐⭐🌹🌹🌹🎁,0
под кого? кто цензор? вы же сами и цензор.,0
"Ну зачем JPEG? Слишком много шакалов будет на таких комиксах.
",1
вот по ком учить детей надо....а не попам....,0
"здравствуйте,а где можно забрать",0
"соседа трахали, таскали по дачам и гостиницам несколько лет загс питера и смольный. описано в книге прощения нам не будет сайт книги https://www.prosheniya.com",1
"только с городах , здесь пока никто не делает ...",0
"престарелый доцентик-завистник, таскающий чужие идеи Женичка после судов, похоже, уже ссытся называть фамилии. постепенно будут оформлены веселые ролики
",1
куплю для черепахи аквариум,0
хуиесос путы,1
"бывает же такое? такой симпатичный мужчина, ко всему еще и гениальный художник- золотые руки, и, видать, умный человек, потому что художники все умные люди!!!",0
хотел бы стать ее бузгалтером.,0
"елена, добрый день! добавьте нас в друзья, чтобы мы могли вам ответить! :-) 🌹",0
"никогда,это нация засранцев",1
"дмитрий, я не в курсе насчет жкх. смотри всегда: если подписано книш, то это фейк. книш - платный агент пиндосов.",1
"слышала,что до 2августа не будет",0
походу хочет убивать,1
"ребёнок, а сердце и душа на всех хватает. низкий поклон родителям!!!!",0
"очень странно, и как это ей удалось??? ни кого не пускают, а она просто супер.... кто-то в это верит???",0
"больше деньги некуда девать.за свой счет пусть реставрируют,жульё.недавно только отстроились.бездонная бочка.",0
а что мне думать. пришёл в поликлинику на проф. сказали иди ты на... только приём с орви. кв. и так три поликлиники.,0
что за уроды надо их обоих взять за ноги и точно также ударить головой об диван да так чтоб они поняли каково было реьенку это не мать это уродка,1
раньше нужно разбираться кто есть кто а не тогда когда жареный петух в задницу клюнет...тогда уже поздно будет...пить боржоми......!!! умные люди прежде чем с кем-то переплывать реку договариваются на берегу...а не посредине реки когда ты тонуть начал (начала).,0
"мразь и падаль. сдохнет в подворотне от рук своих айдаровцев. скотине- скотская смерть. только за то, что его руками было убито столько детей на донбассе, его надо прилюдно четвертовать!!! как такую сволочь земля носит. видно подонки , твари, убийцы богу тоже не нужны . ему одна дорога -ад.",1
цена светильника с белыми лилиями и высота?,0
"без мозгов,отстрелил.",1
укропидорг лавринов! общайся лучше с ией - так хоть на человека похож!,1
здравствуйте. как узнать цену?,0
шотландский рисунок.,0
и где тут народ? одни пидарасы!,1
страно а почему больше не кому нету ?,0
"Так вы же сами взяли тех депутатов, которые приняли закон Яровой и повышение НДС.",0
стараяя сморщенная бандеровская жопа иетух,1
"бедная кошечка, не того кота выбрала!",0
"вот как раз ночью дибилы на дорогах,гоняют по улицам,визг колес на весь город слышно,особенно на левом берегу",1
это.не.глобальная проблема!!!это вообще не проблема!!!отменить там движение после 22.00 и вся проблема!!!,0
"анастасия, борись за жизнь, скорейшего выздоровления вам ш",0
"здравствуйте!скажите, пожалуйста,сколько будет стоить стирка+сушка ковров 4*2, 4*1.5 и 3*2?спасибо.",0
только пусть посмеет или снова шантажирует нас,0
стрелять надо эту золотую молодёжь. отморозки общества.,1
"Высирается твоя мамаша тебе на лицо по утрам, а я высказался, обессилев от негодования от засравших политач ловцов лахты под кроватью.
",1
евсения поз здравляем тебя со авторым местом вконкурсе вчастушки,0
"все москве да москве строят корпуса, аппараты завозят и лечение лучшее. в брянске понастроили все медицинские учреждения, диагностики. а новозыбков чернобыльская зона ничего, ни какой апаратуры, даже мрт толкового нет только для стариков 75-80 летних большое излучение. для молодых он вреден не разрешали делать отправляли а брянск или клинцы. а сейчас всех подряд проверяют. надо думать не только о москве. ну и о чернобыльской зоне нужно подумать путину и богомазу.",0
какая вознятина,0
"👍👍👍согласна, я этот рецепт взяла в инсте, и 400 грам это просто жидкое тесто как на торт, у меня уходит грубо 800 грамм, может чуть больше",0
холодок по коже. без воды и жить не хочется. трубы старые и надо полагать и зимой такая беда с водой будет.,0
жырноя и страшная тока на ебала насрать нада,1
на всех чиновников тогда тюрьм не хватит,0
"ПОЧЕМУ ТЫ ЕЩЕ НЕ ВЫПИЛИЛСЯ ПОЗОРНЫЙ МЕЛКОХУЙ? ЧТО ТЕБЯ ДЕРЖИТ?
",1
б о тема жирновские объявления я жирновские объявления я б пожалуйста дайте номер тел добринке очень церкви надо в покрестить с з комментарии поделиться класс ф кому надо тот знает отец георгий батюшка вббч ему позвоните и и договоритесь о о времени бо ответить класс комментарий,0
"пора уже не лайки ставить, а выходить как хабаровск на улицу и отстаивать свои права!",0
так и нас в 2 почти раза больше чем вас,0
всех майданутых уничтожать сразу в зародыше .... потом поздно будет ...все чекнулись повторяете судьбу украины ...пиндосы не дождутся пока все бывшие страны ссср сами себя истребят,1
"Никчёмный народец получивший славу только потому что Батый не вырезал их сразу а ставил первыми шеренгами или живым щитом перед своими же войсками. Выживаемость ноль
",1
